Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 8204.56it/s]
/Users/shauryakesarwani/lawline-ai/lawline/index/embedder.py:29: FutureWarning: The `get_sentence_embedding_dimension` method has been renamed to `get_embedding_dimension`.
  self.dim = self.model.get_sentence_embedding_dimension()
{'chunk_words': 80, 'overlap': 0, 'retriever': 'faiss', 'n_chunks': 13677, 'embed_s': 59.7, 'R@1': 0.5242708333333334, 'R@5': 0.7086111111111111, 'R@10': 0.7592708333333333, 'MRR@10': 0.6467220568783069, 'nDCG@10': 0.6550948257202063, 'bns_qa_R@5': 0.7166666666666667, 'const_qa_R@5': 0.8708333333333333, 'ipc_facts_R@5': 0.27194444444444443, 'sc_case_R@5': 0.975}
{'chunk_words': 80, 'overlap': 0, 'retriever': 'bm25', 'n_chunks': 13677, 'embed_s': 59.7, 'R@1': 0.48506944444444444, 'R@5': 0.5722222222222222, 'R@10': 0.601736111111111, 'MRR@10': 0.5338161375661375, 'nDCG@10': 0.5453037345427877, 'bns_qa_R@5': 0.425, 'const_qa_R@5': 0.8722222222222222, 'ipc_facts_R@5': 0.0, 'sc_case_R@5': 0.9916666666666667}
{'chunk_words': 80, 'overlap': 0, 'retriever': 'faiss+bm25', 'n_chunks': 13677, 'embed_s': 59.7, 'R@1': 0.5576388888888889, 'R@5': 0.693125, 'R@10': 0.7448611111111111, 'MRR@10': 0.6531175595238096, 'nDCG@10': 0.6585542817893307, 'bns_qa_R@5': 0.6916666666666667, 'const_qa_R@5': 0.9041666666666667, 'ipc_facts_R@5': 0.185, 'sc_case_R@5': 0.9916666666666667}
{'chunk_words': 120, 'overlap': 20, 'retriever': 'faiss', 'n_chunks': 10771, 'embed_s': 69.2, 'R@1': 0.5273263888888889, 'R@5': 0.7091666666666667, 'R@10': 0.7557291666666667, 'MRR@10': 0.6418353174603174, 'nDCG@10': 0.653986573243889, 'bns_qa_R@5': 0.725, 'const_qa_R@5': 0.8777777777777778, 'ipc_facts_R@5': 0.25055555555555553, 'sc_case_R@5': 0.9833333333333333}
{'chunk_words': 120, 'overlap': 20, 'retriever': 'bm25', 'n_chunks': 10771, 'embed_s': 69.2, 'R@1': 0.48715277777777777, 'R@5': 0.5795138888888889, 'R@10': 0.6090277777777777, 'MRR@10': 0.5406349206349206, 'nDCG@10': 0.5525968319598613, 'bns_qa_R@5': 0.45, 'const_qa_R@5': 0.8680555555555556, 'ipc_facts_R@5': 0.0, 'sc_case_R@5': 1.0}
{'chunk_words': 120, 'overlap': 20, 'retriever': 'faiss+bm25', 'n_chunks': 10771, 'embed_s': 69.2, 'R@1': 0.5502430555555555, 'R@5': 0.6890624999999999, 'R@10': 0.7351041666666667, 'MRR@10': 0.6416625330687831, 'nDCG@10': 0.6504046806508431, 'bns_qa_R@5': 0.7, 'const_qa_R@5': 0.9125, 'ipc_facts_R@5': 0.15208333333333332, 'sc_case_R@5': 0.9916666666666667}
{'chunk_words': 160, 'overlap': 30, 'retriever': 'faiss', 'n_chunks': 8531, 'embed_s': 68.5, 'R@1': 0.5239930555555555, 'R@5': 0.7106250000000001, 'R@10': 0.7645138888888889, 'MRR@10': 0.6437003968253968, 'nDCG@10': 0.6566888137903744, 'bns_qa_R@5': 0.725, 'const_qa_R@5': 0.8916666666666667, 'ipc_facts_R@5': 0.25916666666666666, 'sc_case_R@5': 0.9666666666666667}
{'chunk_words': 160, 'overlap': 30, 'retriever': 'bm25', 'n_chunks': 8531, 'embed_s': 68.5, 'R@1': 0.48611111111111105, 'R@5': 0.5868055555555556, 'R@10': 0.601736111111111, 'MRR@10': 0.5376231812169312, 'nDCG@10': 0.5491610685795296, 'bns_qa_R@5': 0.48333333333333334, 'const_qa_R@5': 0.8638888888888889, 'ipc_facts_R@5': 0.0, 'sc_case_R@5': 1.0}
{'chunk_words': 160, 'overlap': 30, 'retriever': 'faiss+bm25', 'n_chunks': 8531, 'embed_s': 68.5, 'R@1': 0.5437847222222223, 'R@5': 0.6875694444444445, 'R@10': 0.743263888888889, 'MRR@10': 0.6398619378306878, 'nDCG@10': 0.6501271791022049, 'bns_qa_R@5': 0.7083333333333334, 'const_qa_R@5': 0.9041666666666667, 'ipc_facts_R@5': 0.15444444444444447, 'sc_case_R@5': 0.9833333333333333}
{'chunk_words': 220, 'overlap': 40, 'retriever': 'faiss', 'n_chunks': 6605, 'embed_s': 58.5, 'R@1': 0.5282638888888889, 'R@5': 0.7047222222222222, 'R@10': 0.7582986111111112, 'MRR@10': 0.6441840277777777, 'nDCG@10': 0.6568602947879736, 'bns_qa_R@5': 0.725, 'const_qa_R@5': 0.8958333333333334, 'ipc_facts_R@5': 0.22305555555555553, 'sc_case_R@5': 0.975}
{'chunk_words': 220, 'overlap': 40, 'retriever': 'bm25', 'n_chunks': 6605, 'embed_s': 58.5, 'R@1': 0.4826388888888889, 'R@5': 0.5836805555555555, 'R@10': 0.6017361111111111, 'MRR@10': 0.5367468584656085, 'nDCG@10': 0.5481931325064447, 'bns_qa_R@5': 0.4666666666666667, 'const_qa_R@5': 0.8680555555555556, 'ipc_facts_R@5': 0.0, 'sc_case_R@5': 1.0}
