config,task,R@1,Hit@1,R@3,Hit@3,R@5,Hit@5,R@10,Hit@10,MRR@10,nDCG@10,P@5,n
bm25,bns_qa,0.2616666666666666,0.2616666666666666,0.3966666666666666,0.3966666666666666,0.43,0.43,0.505,0.505,0.3385291005291005,0.3783790850637504,0.086,600
bm25,const_qa,0.5510752688172043,0.5887096774193549,0.7513440860215054,0.7903225806451613,0.8037634408602151,0.8387096774193549,0.8481182795698925,0.8870967741935484,0.7037954429083462,0.7228545053010523,0.1741935483870967,124
bm25,ipc_facts,0.002,0.002,0.0043333333333333,0.008,0.0047333333333333,0.01,0.0114,0.02,0.0063103174603174,0.0063817082737718,0.002,500
bm25,sc_case,0.9795221843003412,0.9795221843003412,0.9948805460750854,0.9948805460750854,0.9965870307167236,0.9965870307167236,0.9982935153583616,0.9982935153583616,0.987786445636275,0.9904412182981416,0.1993174061433447,586
bm25,macro,0.4485660299460531,0.4579746320965907,0.5368061580241477,0.5474674483467283,0.558770951227568,0.5688241770340197,0.5907029487320635,0.6025975723879775,0.5091053266335097,0.5245141292341791,0.1153777386326103,1810
faiss,bns_qa,0.2466666666666666,0.2466666666666666,0.35,0.35,0.41,0.41,0.4583333333333333,0.4583333333333333,0.3112599206349206,0.3465272755358816,0.082,600
faiss,const_qa,0.5967741935483871,0.6370967741935484,0.7741935483870968,0.7983870967741935,0.7903225806451613,0.8145161290322581,0.8360215053763441,0.8629032258064516,0.7226478494623656,0.7364046803577051,0.1709677419354839,124
faiss,ipc_facts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
faiss,sc_case,0.8822525597269625,0.8822525597269625,0.938566552901024,0.938566552901024,0.9641638225255972,0.9641638225255972,0.9761092150170648,0.9761092150170648,0.9157612817595752,0.9305872982295308,0.1928327645051194,586
faiss,macro,0.4314233549855041,0.4415040001467943,0.5156900253220301,0.5217384124188044,0.5411216007926896,0.5471699878894638,0.5676160134316856,0.5743364435392124,0.4874172629642154,0.5033798135307794,0.1114501266101508,1810
kg,bns_qa,0.1683333333333333,0.1683333333333333,0.215,0.215,0.2233333333333333,0.2233333333333333,0.2283333333333333,0.2283333333333333,0.192287037037037,0.2012892121535431,0.0446666666666666,600
kg,const_qa,0.4341397849462365,0.4596774193548387,0.4892473118279569,0.5,0.5080645161290323,0.5161290322580645,0.5161290322580645,0.5241935483870968,0.4802419354838709,0.4854370961568678,0.1129032258064516,124
