config,task,R@1,Hit@1,R@3,Hit@3,R@5,Hit@5,R@10,Hit@10,MRR@10,nDCG@10,P@5,n
bm25,bns_qa,0.2616666666666666,0.2616666666666666,0.3966666666666666,0.3966666666666666,0.43,0.43,0.505,0.505,0.3385291005291005,0.3783790850637504,0.086,600
bm25,const_qa,0.5510752688172043,0.5887096774193549,0.7513440860215054,0.7903225806451613,0.8037634408602151,0.8387096774193549,0.8481182795698925,0.8870967741935484,0.7037954429083462,0.7228545053010523,0.1741935483870967,124
bm25,ipc_facts,0.002,0.002,0.0043333333333333,0.008,0.0047333333333333,0.01,0.0114,0.02,0.0063103174603174,0.0063817082737718,0.002,500
bm25,sc_case,0.9795221843003412,0.9795221843003412,0.9948805460750854,0.9948805460750854,0.9965870307167236,0.9965870307167236,0.9982935153583616,0.9982935153583616,0.987786445636275,0.9904412182981416,0.1993174061433447,586
bm25,macro,0.4485660299460531,0.4579746320965907,0.5368061580241477,0.5474674483467283,0.558770951227568,0.5688241770340197,0.5907029487320635,0.6025975723879775,0.5091053266335097,0.5245141292341791,0.1153777386326103,1810
faiss,bns_qa,0.4433333333333333,0.4433333333333333,0.6133333333333333,0.6133333333333333,0.68,0.68,0.76,0.76,0.5457658730158731,0.5972137213192737,0.136,600
faiss,const_qa,0.668010752688172,0.717741935483871,0.875,0.9193548387096774,0.8991935483870968,0.935483870967742,0.924731182795699,0.9516129032258064,0.8174731182795698,0.827229268014987,0.1967741935483871,124
faiss,ipc_facts,0.1683,0.29,0.2559,0.406,0.3252333333333334,0.518,0.4426,0.67,0.3821333333333333,0.3355177015858028,0.1256,500
faiss,sc_case,0.8242320819112628,0.8242320819112628,0.9163822525597268,0.9163822525597268,0.9300341296928328,0.9300341296928328,0.9573378839590444,0.9573378839590444,0.8737661845170377,0.894219557331056,0.1860068259385665,586
faiss,macro,0.525969041983192,0.5688268376821168,0.6651538964732651,0.7137676061506845,0.7086152528533156,0.7658795001651437,0.7711672666886858,0.8347376967962128,0.6547846272864535,0.6635450620627799,0.1610952548717384,1810
kg,bns_qa,0.1683333333333333,0.1683333333333333,0.215,0.215,0.2233333333333333,0.2233333333333333,0.2283333333333333,0.2283333333333333,0.192287037037037,0.2012892121535431,0.0446666666666666,600
kg,const_qa,0.4341397849462365,0.4596774193548387,0.4892473118279569,0.5,0.5080645161290323,0.5161290322580645,0.5161290322580645,0.5241935483870968,0.4802419354838709,0.4854370961568678,0.1129032258064516,124
