config,task,R@1,Hit@1,R@3,Hit@3,R@5,Hit@5,R@10,Hit@10,MRR@10,nDCG@10,P@5,n
bm25,bns_qa,0.26166666666666666,0.26166666666666666,0.39666666666666667,0.39666666666666667,0.43,0.43,0.505,0.505,0.3385291005291005,0.37837908506375045,0.08600000000000001,600
bm25,const_qa,0.5510752688172043,0.5887096774193549,0.7513440860215054,0.7903225806451613,0.8037634408602151,0.8387096774193549,0.8481182795698925,0.8870967741935484,0.7037954429083462,0.7228545053010523,0.17419354838709677,124
bm25,ipc_facts,0.002,0.002,0.004333333333333333,0.008,0.004733333333333333,0.01,0.0114,0.02,0.00631031746031746,0.006381708273771863,0.002,500
bm25,sc_case,0.9795221843003413,0.9795221843003413,0.9948805460750854,0.9948805460750854,0.9965870307167235,0.9965870307167235,0.9982935153583617,0.9982935153583617,0.987786445636275,0.9904412182981417,0.19931740614334473,586
bm25,macro,0.4485660299460531,0.45797463209659073,0.5368061580241477,0.5474674483467283,0.558770951227568,0.5688241770340197,0.5907029487320635,0.6025975723879775,0.5091053266335097,0.5245141292341791,0.11537773863261039,1810
faiss,bns_qa,0.44333333333333336,0.44333333333333336,0.6133333333333333,0.6133333333333333,0.68,0.68,0.76,0.76,0.5457658730158731,0.5972137213192737,0.136,600
faiss,const_qa,0.668010752688172,0.717741935483871,0.875,0.9193548387096774,0.8991935483870968,0.9354838709677419,0.924731182795699,0.9516129032258065,0.8174731182795698,0.827229268014987,0.19677419354838713,124
faiss,ipc_facts,0.1683,0.29,0.2559,0.406,0.3252333333333334,0.518,0.44260000000000005,0.67,0.3821333333333333,0.33551770158580285,0.12560000000000002,500
faiss,sc_case,0.8242320819112628,0.8242320819112628,0.9163822525597269,0.9163822525597269,0.9300341296928327,0.9300341296928327,0.9573378839590444,0.9573378839590444,0.8737661845170377,0.894219557331056,0.18600682593856654,586
faiss,macro,0.525969041983192,0.5688268376821168,0.6651538964732651,0.7137676061506845,0.7086152528533156,0.7658795001651437,0.7711672666886858,0.8347376967962128,0.6547846272864535,0.6635450620627799,0.16109525487173842,1810
kg,bns_qa,0.16833333333333333,0.16833333333333333,0.215,0.215,0.22333333333333333,0.22333333333333333,0.22833333333333333,0.22833333333333333,0.19228703703703703,0.2012892121535431,0.04466666666666667,600
kg,const_qa,0.43413978494623656,0.4596774193548387,0.48924731182795694,0.5,0.5080645161290323,0.5161290322580645,0.5161290322580645,0.5241935483870968,0.48024193548387095,0.4854370961568678,0.11290322580645161,124
kg,ipc_facts,0.003,0.006,0.006900000000000001,0.016,0.017066666666666667,0.032,0.029866666666666666,0.052,0.01680952380952381,0.016006733947035265,0.0068000000000000005,500
kg,sc_case,0.006825938566552901,0.006825938566552901,0.017064846416382253,0.017064846416382253,0.020477815699658702,0.020477815699658702,0.11774744027303755,0.11774744027303755,0.024246302616609785,0.044737762743062175,0.0040955631399317415,586
kg,macro,0.1530747642115307,0.16020917281368122,0.18205303956108482,0.18701621160409557,0.19223558295717275,0.19798504532276415,0.2230191181327755,0.2305685804983669,0.1783961997367604,0.18686770125012708,0.0421163639032625,1810
faiss+bm25,bns_qa,0.4766666666666667,0.4766666666666667,0.6266666666666667,0.6266666666666667,0.6966666666666667,0.6966666666666667,0.76,0.76,0.5687533068783068,0.6148397347207407,0.13933333333333334,600
faiss+bm25,const_qa,0.7473118279569892,0.7983870967741935,0.8844086021505376,0.9274193548387096,0.9045698924731184,0.9354838709677419,0.9233870967741935,0.9596774193548387,0.8621063748079877,0.8579881564301025,0.19677419354838713,124
faiss+bm25,ipc_facts,0.14076666666666668,0.244,0.1951,0.324,0.24516666666666664,0.39,0.3292333333333333,0.522,0.3063261904761905,0.25316092753762437,0.09040000000000001,500
faiss+bm25,sc_case,0.9044368600682594,0.9044368600682594,0.9641638225255973,0.9641638225255973,0.9778156996587031,0.9778156996587031,0.9965870307167235,0.9965870307167235,0.9369894089603987,0.9515545944549497,0.19556313993174063,586
faiss+bm25,macro,0.5672955053396456,0.6058726558772799,0.6675847728357005,0.7105624610077435,0.7060547313662887,0.7499915593232779,0.7523018652060627,0.8095661125178906,0.6685438202807209,0.6693858532858543,0.15551766670336525,1810
faiss+kg,bns_qa,0.465,0.465,0.6033333333333334,0.6033333333333334,0.6666666666666666,0.6666666666666666,0.755,0.755,0.5521263227513228,0.600423369063985,0.13333333333333333,600
faiss+kg,const_qa,0.6989247311827957,0.75,0.8669354838709677,0.9112903225806451,0.8991935483870968,0.9354838709677419,0.9462365591397849,0.9596774193548387,0.8273521505376344,0.8412149673975899,0.19677419354838713,124
faiss+kg,ipc_facts,0.1565,0.27,0.23306666666666667,0.372,0.28626666666666667,0.444,0.38956666666666667,0.598,0.3463142857142857,0.29570695537957054,0.1044,500
faiss+kg,sc_case,0.5887372013651877,0.5887372013651877,0.8549488054607508,0.8549488054607508,0.9044368600682594,0.9044368600682594,0.9419795221843004,0.9419795221843004,0.7203410260577496,0.7752630289119806,0.18088737201365188,586
faiss+kg,macro,0.4772904831369959,0.518434300341297,0.6395710723329296,0.6853931153436823,0.6891409354471724,0.7376468494256669,0.758195686997688,0.8136642353847847,0.6115334462652481,0.6281520801882815,0.1538487247238431,1810
bm25+kg,bns_qa,0.3233333333333333,0.3233333333333333,0.445,0.445,0.4866666666666667,0.4866666666666667,0.5416666666666666,0.5416666666666666,0.39389484126984126,0.42952825677406814,0.09733333333333334,600
bm25+kg,const_qa,0.6196236559139785,0.6612903225806451,0.799731182795699,0.8306451612903226,0.8508064516129032,0.8790322580645161,0.9018817204301075,0.9274193548387096,0.7494143625192012,0.7743136770050314,0.18548387096774194,124
bm25+kg,ipc_facts,0.0,0.0,0.005666666666666667,0.01,0.008333333333333333,0.016,0.016133333333333333,0.034,0.007546825396825396,0.008185057118700323,0.0032,500
bm25+kg,sc_case,0.674061433447099,0.674061433447099,0.9488054607508533,0.9488054607508533,0.9795221843003413,0.9795221843003413,0.9965870307167235,0.9965870307167235,0.8087829784928761,0.85623117142043,0.19590443686006828,586
bm25+kg,macro,0.4042546056736027,0.41467127234026935,0.5498008275533047,0.5586126555102939,0.5813321589783111,0.5903052772578811,0.6140671877867077,0.624918263055525,0.489909751919686,0.5170645405795575,0.12048041029028589,1810
faiss+bm25+kg,bns_qa,0.5133333333333333,0.5133333333333333,0.6333333333333333,0.6333333333333333,0.6966666666666667,0.6966666666666667,0.7566666666666667,0.7566666666666667,0.5903181216931217,0.6302154320678318,0.13933333333333334,600
faiss+bm25+kg,const_qa,0.7916666666666667,0.8387096774193549,0.9005376344086022,0.9435483870967742,0.9206989247311829,0.9516129032258065,0.9354838709677419,0.967741935483871,0.8894137224782386,0.884237580898653,0.2,124
faiss+bm25+kg,ipc_facts,0.0681,0.104,0.14606666666666665,0.244,0.2044,0.326,0.31023333333333336,0.49,0.2027563492063492,0.1972678239297309,0.072,500
faiss+bm25+kg,sc_case,0.8071672354948806,0.8071672354948806,0.9539249146757679,0.9539249146757679,0.9795221843003413,0.9795221843003413,0.9931740614334471,0.9931740614334471,0.8835608646188851,0.9111124304386352,0.19590443686006828,586
faiss+bm25+kg,macro,0.5450668088737202,0.5658025615618922,0.6584656372710925,0.6937016587764688,0.7003219439245477,0.7384504385482037,0.7488894831002972,0.8018956658959963,0.6415122644991487,0.6557083168337128,0.1518094425483504,1810
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",bns_qa,0.51,0.51,0.6333333333333333,0.6333333333333333,0.6983333333333334,0.6983333333333334,0.7616666666666667,0.7616666666666667,0.5887056878306878,0.6301830286260598,0.1396666666666667,600
"faiss+bm25+kg[w_kg=0.5,boost=1.0]",const_qa,0.7755376344086022,0.8225806451612904,0.8924731182795699,0.9354838709677419,0.9126344086021506,0.9435483870967742,0.9274193548387096,0.9596774193548387,0.8791090629800308,0.8744786582194798,0.19838709677419356,124
