chunk_words,overlap,retriever,n_chunks,embed_s,R@1,R@5,R@10,MRR@10,nDCG@10,bns_qa_R@5,const_qa_R@5,ipc_facts_R@5,sc_case_R@5
80,0,faiss,13677,59.7,0.5242708333333334,0.7086111111111111,0.7592708333333333,0.6467220568783069,0.6550948257202063,0.7166666666666667,0.8708333333333333,0.27194444444444443,0.975
80,0,bm25,13677,59.7,0.48506944444444444,0.5722222222222222,0.601736111111111,0.5338161375661375,0.5453037345427877,0.425,0.8722222222222222,0.0,0.9916666666666667
80,0,faiss+bm25,13677,59.7,0.5576388888888889,0.693125,0.7448611111111111,0.6531175595238096,0.6585542817893307,0.6916666666666667,0.9041666666666667,0.185,0.9916666666666667
120,20,faiss,10771,69.2,0.5273263888888889,0.7091666666666667,0.7557291666666667,0.6418353174603174,0.653986573243889,0.725,0.8777777777777778,0.25055555555555553,0.9833333333333333
120,20,bm25,10771,69.2,0.48715277777777777,0.5795138888888889,0.6090277777777777,0.5406349206349206,0.5525968319598613,0.45,0.8680555555555556,0.0,1.0
120,20,faiss+bm25,10771,69.2,0.5502430555555555,0.6890624999999999,0.7351041666666667,0.6416625330687831,0.6504046806508431,0.7,0.9125,0.15208333333333332,0.9916666666666667
160,30,faiss,8531,68.5,0.5239930555555555,0.7106250000000001,0.7645138888888889,0.6437003968253968,0.6566888137903744,0.725,0.8916666666666667,0.25916666666666666,0.9666666666666667
160,30,bm25,8531,68.5,0.48611111111111105,0.5868055555555556,0.601736111111111,0.5376231812169312,0.5491610685795296,0.48333333333333334,0.8638888888888889,0.0,1.0
160,30,faiss+bm25,8531,68.5,0.5437847222222223,0.6875694444444445,0.743263888888889,0.6398619378306878,0.6501271791022049,0.7083333333333334,0.9041666666666667,0.15444444444444447,0.9833333333333333
220,40,faiss,6605,58.5,0.5282638888888889,0.7047222222222222,0.7582986111111112,0.6441840277777777,0.6568602947879736,0.725,0.8958333333333334,0.22305555555555553,0.975
220,40,bm25,6605,58.5,0.4826388888888889,0.5836805555555555,0.6017361111111111,0.5367468584656085,0.5481931325064447,0.4666666666666667,0.8680555555555556,0.0,1.0
220,40,faiss+bm25,6605,58.5,0.5442361111111111,0.6921180555555555,0.7338194444444445,0.6348214285714286,0.6457473921315342,0.7166666666666667,0.9111111111111111,0.1490277777777778,0.9916666666666667
320,60,faiss,5168,43.6,0.5175,0.6933680555555555,0.7517361111111112,0.6327414021164022,0.6450537285486844,0.7,0.8847222222222223,0.23875,0.95
320,60,bm25,5168,43.6,0.4892361111111111,0.5878472222222222,0.6121527777777778,0.5410780423280424,0.5539248201558377,0.48333333333333334,0.8680555555555556,0.0,1.0
320,60,faiss+bm25,5168,43.6,0.5417361111111112,0.6863888888888888,0.7364236111111111,0.6310342261904761,0.6436636429881382,0.6916666666666667,0.9125,0.16638888888888886,0.975
450,80,faiss,4434,39.5,0.5157638888888889,0.6877083333333334,0.749236111111111,0.6301843584656085,0.6426554206641399,0.7083333333333334,0.8847222222222223,0.2577777777777778,0.9
450,80,bm25,4434,39.5,0.4878472222222222,0.5878472222222222,0.6100694444444444,0.5416046626984127,0.5536063362838718,0.48333333333333334,0.8680555555555556,0.0,1.0
450,80,faiss+bm25,4434,39.5,0.5337500000000001,0.6813541666666666,0.7460416666666666,0.6270494378306878,0.6429397433388577,0.7,0.9041666666666667,0.15458333333333335,0.9666666666666667
